Etiquetas de fila;Meses;Promedio de ITCRM 
2012;1;111,10
2012;2;113,81
2012;3;109,80
2012;4;106,90
2012;5;102,63
2012;6;100,27
2012;7;100,10
2012;8;100,46
2012;9;101,53
2012;10;101,81
2012;11;100,65
2012;12;101,38
2013;1;102,52
2013;2;103,48
2013;3;102,68
2013;4;102,19
2013;5;101,31
2013;6;99,06
2013;7;97,28
2013;8;96,86
2013;9;98,92
2013;10;100,53
2013;11;98,57
2013;12;101,03
2014;1;108,18
2014;2;114,80
2014;3;112,16
2014;4;111,61
2014;5;109,80
2014;6;108,45
2014;7;107,09
2014;8;105,69
2014;9;102,48
2014;10;98,97
2014;11;96,00
2014;12;93,04
2015;1;91,27
2015;2;88,68
2015;3;84,55
2015;4;84,90
2015;5;84,84
2015;6;84,02
2015;7;82,34
2015;8;79,26
2015;9;76,20
2015;10;76,09
2015;11;75,43
2015;12;85,10
2016;1;96,00
2016;2;102,46
2016;3;103,03
2016;4;97,42
2016;5;91,46
2016;6;89,33
2016;7;92,87
2016;8;92,83
2016;9;93,32
2016;10;92,19
2016;11;89,22
2016;12;90,14
2017;1;90,88
2017;2;89,01
2017;3;86,83
2017;4;83,96
2017;5;84,45
2017;6;85,30
2017;7;91,30
2017;8;92,71
2017;9;90,90
2017;10;89,37
2017;11;87,69
2017;12;87,11
2018;1;93,55
2018;2;96,17
2018;3;95,60
2018;4;92,15
2018;5;101,42
2018;6;109,34
2018;7;109,46
2018;8;113,27
2018;9;136,74
2018;10;126,96
2018;11;118,89
2018;12;119,22
2019;1;116,65
2019;2;116,66
2019;3;119,76
2019;4;120,14
2019;5;119,44
2019;6;114,79
2019;7;109,82
2019;8;127,78
2019;9;130,71
2019;10;129,79
2019;11;127,04
2019;12;123,67
2020;1;120,94
2020;2;119,08
2020;3;114,90
2020;4;112,10
2020;5;112,38
2020;6;117,06
2020;7;118,55
2020;8;119,76
2020;9;120,46
2020;10;119,17
2020;11;120,43
2020;12;123,79
2021;1;123,55
2021;2;123,18
2021;3;119,98
2021;4;117,55
2021;5;117,88
2021;6;117,31
2021;7;114,08
2021;8;112,28
2021;9;110,50
2021;10;106,17
2021;11;104,37
2021;12;102,27
2022;1;101,99
2022;2;102,69
2022;3;101,31
2022;4;99,82
2022;5;96,44
2022;6;95,61
2022;7;91,70
2022;8;91,49
2022;9;89,26
2022;10;88,35
2022;11;90,10
2022;12;93,21
2023;1;95,14
2023;2;94,77
2023;3;93,59
2023;4;93,81
2023;5;93,05
2023;6;93,96
2023;7;95,84
2023;8;104,82
2023;9;100,66
2023;10;89,62
2023;11;83,19
2023;12;124,86
2024;1;132,78
2024;2;115,75
2024;3;105,89
2024;4;97,07
2024;5;93,55
2024;6;89,96
