indice_tiempo,region_destino,estadia_promedio_anual
2012,CABA,5.53
2012,Córdoba,5.83
2012,Cuyo,5.05
2012,Litoral,4.19
2012,Norte,5.64
2012,Patagonia,7.44
2012,PBA - Partidos del GBA,5.69
2012,PBA - Resto,5.93
2013,CABA,6.32
2013,Córdoba,5.25
2013,Cuyo,5.66
2013,Litoral,4.6
2013,Norte,6.14
2013,Patagonia,6.45
2013,PBA - Partidos del GBA,6.6
2013,PBA - Resto,5.93
2014,CABA,5.74
2014,Córdoba,5.49
2014,Cuyo,4.96
2014,Litoral,4.38
2014,Norte,4.91
2014,Patagonia,7.4
2014,PBA - Partidos del GBA,5.28
2014,PBA - Resto,5.87
2015,CABA,5.91
2015,Córdoba,6.42
2015,Cuyo,6.18
2015,Litoral,5.19
2015,Norte,6.73
2015,Patagonia,8.2
2015,PBA - Partidos del GBA,5.38
2015,PBA - Resto,6.13
2016,CABA,6.21
2016,Córdoba,4.87
2016,Cuyo,4.95
2016,Litoral,5.28
2016,Norte,6.49
2016,Patagonia,7.65
2016,PBA - Partidos del GBA,4.94
2016,PBA - Resto,6.29
2017,CABA,4.77
2017,Córdoba,5.77
2017,Cuyo,5.24
2017,Litoral,5.05
2017,Norte,5.65
2017,Patagonia,6.71
2017,PBA - Partidos del GBA,4.59
2017,PBA - Resto,5.07
2018,CABA,5.64
2018,Córdoba,4.9
2018,Cuyo,5.65
2018,Litoral,4.98
2018,Norte,5.54
2018,Patagonia,6.9
2018,PBA - Partidos del GBA,3.02
2018,PBA - Resto,5.3
2019,CABA,5.22
2019,Córdoba,5.05
2019,Cuyo,4.89
2019,Litoral,4.35
2019,Norte,5.46
2019,Patagonia,7.33
2019,PBA - Partidos del GBA,3.55
2019,PBA - Resto,5.47
2020,CABA,8.16
2020,Córdoba,7.42
2020,Cuyo,5.98
2020,Litoral,4.21
2020,Norte,5.22
2020,Patagonia,9
2020,PBA - Partidos del GBA,4.2
2020,PBA - Resto,7.22
2021,CABA,4.41
2021,Córdoba,4.48
2021,Cuyo,4.82
2021,Litoral,4.2
2021,Norte,4.98
2021,Patagonia,7.71
2021,PBA - Partidos del GBA,5.2
2021,PBA - Resto,5.52
2022,CABA,4.56
2022,Córdoba,4.78
2022,Cuyo,4.72
2022,Litoral,4.12
2022,Norte,5.18
2022,Patagonia,7.19
2022,PBA - Partidos del GBA,2.66
2022,PBA - Resto,5.08
