"","ANIO","MES","ventasNETAS","INGRESOS"
"1","2011","DICIEMBRE",20324,20440
"2","2012","ENERO",39738,39980
"3","2012","FEBRERO",39169,39931
"4","2012","MARZO",26699,27411
"5","2012","ABRIL",54480,55733
"6","2012","MAYO",28803,29727
"7","2012","JUNIO",18376,18951
"8","2012","JULIO",54739,55937
"9","2012","AGOSTO",28306,29081
"10","2012","SEPTIEMBRE",46256,47367
"11","2012","OCTUBRE",42026,43313
"12","2012","NOVIEMBRE",41904,43310
"13","2012","DICIEMBRE",24019,24885
"14","2013","ENERO",58705,60884
"15","2013","FEBRERO",45283,46718
"16","2013","MARZO",45456,46889
"17","2013","ABRIL",40749,42479
"18","2013","MAYO",24534,25356
"19","2013","JUNIO",27359,28282
"20","2013","JULIO",49204,50539
"21","2013","AGOSTO",27518,28416
"22","2013","SEPTIEMBRE",37269,38562
"23","2013","OCTUBRE",48765,50672
"24","2013","NOVIEMBRE",43923,45673
"25","2013","DICIEMBRE",23999,24982
"26","2014","ENERO",51151,53004
"27","2014","FEBRERO",42686,44454
"28","2014","MARZO",50499,52328
"29","2014","ABRIL",48912,50902
"30","2014","MAYO",33338,34727
"31","2014","JUNIO",18719,19464
"32","2014","JULIO",48013,49348
"33","2014","AGOSTO",40014,41354
"34","2014","SEPTIEMBRE",42429,43931
"35","2014","OCTUBRE",52446,54377
"36","2014","NOVIEMBRE",45222,46886
"37","2014","DICIEMBRE",26541,27628
"38","2015","ENERO",64657,67286
"39","2015","FEBRERO",57845,60492
"40","2015","MARZO",48098,50469
"41","2015","ABRIL",53483,55727
"42","2015","MAYO",36339,38293
"43","2015","JUNIO",21059,22088
"44","2015","JULIO",59932,62033
"45","2015","AGOSTO",30542,31774
"46","2015","SEPTIEMBRE",39175,41101
"47","2015","OCTUBRE",42249,44434
"48","2015","NOVIEMBRE",45500,47749
"49","2015","DICIEMBRE",44028,46161
"50","2016","ENERO",115957,121081
"51","2016","FEBRERO",81118,85320
"52","2016","MARZO",45441,47769
"53","2016","ABRIL",21772,23451
"54","2016","MAYO",15902,17008
"55","2016","JUNIO",17213,18112
"56","2016","JULIO",54577,56914
"57","2016","AGOSTO",31708,33363
"58","2016","SEPTIEMBRE",36709,38757
"59","2016","OCTUBRE",49971,52662
"60","2016","NOVIEMBRE",46548,49249
"61","2016","DICIEMBRE",41917,44608
"62","2017","ENERO",104599,109199
"63","2017","FEBRERO",94189,98061
"64","2017","MARZO",47504,50067
"65","2017","ABRIL",52385,55065
"66","2017","MAYO",22284,23756
"67","2017","JUNIO",14259,15086
"68","2017","JULIO",57912,60639
"69","2017","AGOSTO",31128,32662
"70","2017","SEPTIEMBRE",39307,41735
"71","2017","OCTUBRE",49155,51895
"72","2017","NOVIEMBRE",59353,63177
"73","2017","DICIEMBRE",44006,46489
"74","2018","ENERO",104438,109421
"75","2018","FEBRERO",92556,96688
"76","2018","MARZO",55091,57964
"77","2018","ABRIL",46313,49125
"78","2018","MAYO",20904,22340
"79","2018","JUNIO",11865,12850
"80","2018","JULIO",45073,46837
"81","2018","AGOSTO",24390,26043
"82","2018","SEPTIEMBRE",41370,43509
"83","2018","OCTUBRE",51179,54100
"84","2018","NOVIEMBRE",51319,54589
"85","2018","DICIEMBRE",37820,40204
"86","2019","ENERO",82143,85659
"87","2019","FEBRERO",76794,80570
"88","2019","MARZO",57203,60703
"89","2019","ABRIL",57483,60486
"90","2019","MAYO",23548,25340
"91","2019","JUNIO",19695,21218
"92","2019","JULIO",54733,57242
"93","2019","AGOSTO",31182,34679
"94","2019","SEPTIEMBRE",51634,54295
"95","2019","OCTUBRE",48855,51846
"96","2019","NOVIEMBRE",67272,71414
"97","2019","DICIEMBRE",0,0
"98","2020","ENERO",94330,98707
"99","2020","FEBRERO",104323,105935
"100","2020","MARZO",34132,36538
"101","2021","ENERO",51726,54275
"102","2021","FEBRERO",68401,71645
"103","2021","MARZO",34132,36538
"104","2021","ABRIL",24062,25225
"105","2021","MAYO",3376,3670
"106","2021","JUNIO",2602,2842
"107","2022","ENERO",102889,108209
"108","2022","FEBRERO",108042,113419
"109","2022","MARZO",47715,51229
"110","2022","ABRIL",57014,60229
"111","2022","MAYO",27829,29876
"112","2022","JUNIO",23432,25006
"113","2022","JULIO",61692,64341
"114","2022","AGOSTO",37175,38938
"115","2022","SEPTIEMBRE",51698,54741
"116","2022","OCTUBRE",72619,77006
"117","2022","NOVIEMBRE",66429,70716
"118","2022","DICIEMBRE",45222,48254
"119","2023","ENERO",119475,125417
"120","2023","FEBRERO",103545,108711
"121","2023","MARZO",45681,49193
"122","2023","ABRIL",68231,71656
"123","2023","MAYO",32097,34293
"124","2023","JUNIO",27318,29458
"125","2023","JULIO",64383,67235
"126","2023","AGOSTO",36340,38244
"127","2023","SEPTIEMBRE",46660,49439
"128","2023","OCTUBRE",68389,72691
"129","2023","NOVIEMBRE",55850,59432
"130","2023","DICIEMBRE",40371,43059
"131","2024","ENERO",85653,90489
"132","2024","FEBRERO",67482,71760
"133","2024","MARZO",52128,55109
"134","2024","ABRIL",23717,25913
"135","2024","MAYO",12820,14080
"136","2024","JUNIO",21616,23463
